,person_id,redirect_id,first_name,family_name,party,constituency
137,uk.org.publicwhip/person/10138,,Tom,Cox,,
138,uk.org.publicwhip/person/10139,,James,Cran,,
139,uk.org.publicwhip/person/10140,,Ross,Cranston,,
140,uk.org.publicwhip/person/10141,,David,Crausby,Labour,Bolton North East
141,uk.org.publicwhip/person/10142,,Ann,Cryer,,
142,uk.org.publicwhip/person/10143,,John,Cryer,Labour,Leyton and Wanstead
143,uk.org.publicwhip/person/10144,,John,Cummings,,
144,uk.org.publicwhip/person/10145,,Lawrence,Cunliffe,,
145,uk.org.publicwhip/person/10146,,Jack,Cunningham,,
146,uk.org.publicwhip/person/10147,,Jim,Cunningham,Labour,Coventry South
147,uk.org.publicwhip/person/10148,,Roseanna,Cunningham,,
148,uk.org.publicwhip/person/10149,,David,Curry,,
149,uk.org.publicwhip/person/10150,,Claire,Curtis-Thomas,,
150,uk.org.publicwhip/person/10151,,Cynog,Dafis,,
151,uk.org.publicwhip/person/10152,,Tam,Dalyell,,
152,uk.org.publicwhip/person/10153,,Alistair Maclean,Darling,Labour,Edinburgh South West
153,uk.org.publicwhip/person/10154,,Keith,Darvill,,
154,uk.org.publicwhip/person/10155,,Edward,Davey,Liberal Democrat,Kingston and Surbiton
155,uk.org.publicwhip/person/10156,,Valerie,Davey,,
156,uk.org.publicwhip/person/10157,,Ian,Davidson,Labour,Glasgow South West
157,uk.org.publicwhip/person/10158,,Denzil,Davies,,
158,uk.org.publicwhip/person/10159,,Geraint,Davies,Labour,Swansea West
159,uk.org.publicwhip/person/10160,,John Quentin,Davies,,
160,uk.org.publicwhip/person/10161,,Ron,Davies,,
161,uk.org.publicwhip/person/10162,,David,Davis,Conservative,Haltemprice and Howden
162,uk.org.publicwhip/person/10163,,Terry,Davis,,
163,uk.org.publicwhip/person/10164,,Hilton,Dawson,,
164,uk.org.publicwhip/person/10165,,Stephen,Day,,
165,uk.org.publicwhip/person/10166,,Janet,Dean,,
166,uk.org.publicwhip/person/10167,,John,Denham,Labour,"Southampton, Itchen"
167,uk.org.publicwhip/person/10168,,Donald,Dewar,,
168,uk.org.publicwhip/person/10169,,Andrew,Dismore,,
169,uk.org.publicwhip/person/10170,,Jim,Dobbin,,
170,uk.org.publicwhip/person/10171,,Frank,Dobson,Labour,Holborn and St Pancras
171,uk.org.publicwhip/person/10172,,Jeffrey M.,Donaldson,DUP,Lagan Valley
172,uk.org.publicwhip/person/10173,,Brian H,Donohoe,Labour,Central Ayrshire
173,uk.org.publicwhip/person/10174,,Frank,Doran,Labour,Aberdeen North
174,uk.org.publicwhip/person/10175,,Stephen,Dorrell,Conservative,Charnwood
175,uk.org.publicwhip/person/10176,,Jim,Dowd,Labour,Lewisham West and Penge
176,uk.org.publicwhip/person/10177,,David,Drew,,
177,uk.org.publicwhip/person/10178,,Julia,Drown,,
178,uk.org.publicwhip/person/10179,,Alan,Duncan,Conservative,Rutland and Melton
179,uk.org.publicwhip/person/10180,,Iain,Duncan Smith,Conservative,Chingford and Woodford Green
180,uk.org.publicwhip/person/10181,,Gwyneth,Dunwoody,,
181,uk.org.publicwhip/person/10182,,Angela,Eagle,Labour,Wallasey
182,uk.org.publicwhip/person/10183,,Maria,Eagle,Labour,Garston and Halewood
183,uk.org.publicwhip/person/10184,,Huw,Edwards,,
184,uk.org.publicwhip/person/10185,,Clive,Efford,Labour,Eltham
185,uk.org.publicwhip/person/10186,,Louise,Ellman,Labour,"Liverpool, Riverside"
186,uk.org.publicwhip/person/10187,,Peter,Emery,,
187,uk.org.publicwhip/person/10188,,Jeff,Ennis,,
188,uk.org.publicwhip/person/10189,,Bill,Etherington,,
189,uk.org.publicwhip/person/10190,,Nigel,Evans,Conservative,Ribble Valley
190,uk.org.publicwhip/person/10191,,Margaret,Ewing,,
191,uk.org.publicwhip/person/10192,,David,Faber,,
192,uk.org.publicwhip/person/10193,,Michael,Fabricant,Conservative,Lichfield
193,uk.org.publicwhip/person/10194,,Michael,Fallon,Conservative,Sevenoaks
194,uk.org.publicwhip/person/10195,,Derek,Fatchett,,
195,uk.org.publicwhip/person/10196,,Ronnie,Fearn,,
196,uk.org.publicwhip/person/10197,,Frank,Field,Labour,Birkenhead
197,uk.org.publicwhip/person/10198,,Mark,Fisher,,
198,uk.org.publicwhip/person/10199,,Jim,Fitzpatrick,Labour,Poplar and Limehouse
199,uk.org.publicwhip/person/10200,,Lorna,Fitzsimons,,
200,uk.org.publicwhip/person/10201,,Howard Emerson,Flight,,
201,uk.org.publicwhip/person/10202,,Caroline,Flint,Labour,Don Valley
202,uk.org.publicwhip/person/10203,,Paul,Flynn,Labour,Newport West
203,uk.org.publicwhip/person/10204,,Barbara,Follett,,
204,uk.org.publicwhip/person/10205,,Clifford,Forsythe,,
205,uk.org.publicwhip/person/10206,,Eric,Forth,,
206,uk.org.publicwhip/person/10207,,Derek,Foster,,
207,uk.org.publicwhip/person/10208,,Donald Michael Ellison,Foster,Liberal Democrat,Bath
208,uk.org.publicwhip/person/10209,,Michael,Foster,,
209,uk.org.publicwhip/person/10210,,Michael Jabez,Foster,,
210,uk.org.publicwhip/person/10211,,George,Foulkes,,
211,uk.org.publicwhip/person/10212,,Norman,Fowler,,
212,uk.org.publicwhip/person/10213,,Liam,Fox,Conservative,North Somerset
213,uk.org.publicwhip/person/10214,,Christopher,Fraser,,
214,uk.org.publicwhip/person/10215,,Maria,Fyfe,,
215,uk.org.publicwhip/person/10216,,Sam,Galbraith,,
216,uk.org.publicwhip/person/10217,,Roger,Gale,Conservative,North Thanet
217,uk.org.publicwhip/person/10218,,George,Galloway,Respect,Bradford West
218,uk.org.publicwhip/person/10219,,Mike,Gapes,Labour,Ilford South
219,uk.org.publicwhip/person/10220,,Barry,Gardiner,Labour,Brent North
220,uk.org.publicwhip/person/10221,,Edward,Garnier,Conservative,Harborough
221,uk.org.publicwhip/person/10222,,Andrew,George,Liberal Democrat,St Ives
222,uk.org.publicwhip/person/10223,,Bruce,George,,
223,uk.org.publicwhip/person/10224,,Neil,Gerrard,,
224,uk.org.publicwhip/person/10225,,Nick,Gibb,Conservative,Bognor Regis and Littlehampton
225,uk.org.publicwhip/person/10226,,Ian,Gibson,,
226,uk.org.publicwhip/person/10227,,Christopher,Gill,,
227,uk.org.publicwhip/person/10228,,Cheryl,Gillan,Conservative,Chesham and Amersham
228,uk.org.publicwhip/person/10229,,Linda,Gilroy,,
229,uk.org.publicwhip/person/10230,,Norman,Godman,,
230,uk.org.publicwhip/person/10231,,Roger,Godsiff,Labour,"Birmingham, Hall Green"
231,uk.org.publicwhip/person/10232,,Paul,Goggins,,
232,uk.org.publicwhip/person/10233,,Llin,Golding,,
233,uk.org.publicwhip/person/10234,,Alastair,Goodlad,,
234,uk.org.publicwhip/person/10235,,Eileen,Gordon,,
235,uk.org.publicwhip/person/10236,,Teresa,Gorman,,
236,uk.org.publicwhip/person/10237,,Donald,Gorrie,,
237,uk.org.publicwhip/person/10238,,Tommy,Graham,,
238,uk.org.publicwhip/person/10239,,Bernie,Grant,,
239,uk.org.publicwhip/person/10240,,James,Gray,Conservative,North Wiltshire
240,uk.org.publicwhip/person/10241,,Damian,Green,Conservative,Ashford
241,uk.org.publicwhip/person/10242,,John,Greenway,,
242,uk.org.publicwhip/person/10243,,Dominic,Grieve,Conservative,Beaconsfield
243,uk.org.publicwhip/person/10244,,Jane,Griffiths,,
244,uk.org.publicwhip/person/10245,,Nigel,Griffiths,,
245,uk.org.publicwhip/person/10246,,Win,Griffiths,,
246,uk.org.publicwhip/person/10247,,Bruce,Grocott,,
247,uk.org.publicwhip/person/10248,,John,Grogan,,
248,uk.org.publicwhip/person/10249,,John Selwyn,Gummer,,
249,uk.org.publicwhip/person/10250,,John,Gunnell,,
250,uk.org.publicwhip/person/10251,,William Jefferson,Hague,Conservative,Richmond (Yorks)
251,uk.org.publicwhip/person/10252,,Peter Gerald,Hain,Labour,Neath
252,uk.org.publicwhip/person/10253,,Mike,Hall,,
253,uk.org.publicwhip/person/10254,,Patrick,Hall,,
254,uk.org.publicwhip/person/10255,,Archibald,Hamilton,,
255,uk.org.publicwhip/person/10256,,Fabian,Hamilton,Labour,Leeds North East
256,uk.org.publicwhip/person/10257,,Philip,Hammond,Conservative,Runnymede and Weybridge
257,uk.org.publicwhip/person/10258,,Mike,Hancock,Independent,Portsmouth South
258,uk.org.publicwhip/person/10259,,David,Hanson,Labour,Delyn
259,uk.org.publicwhip/person/10260,,Harriet,Harman,Labour,Camberwell and Peckham
260,uk.org.publicwhip/person/10261,,Evan,Harris,,
261,uk.org.publicwhip/person/10262,,Nick,Harvey,Liberal Democrat,North Devon
262,uk.org.publicwhip/person/10263,,Alan,Haselhurst,Conservative,Saffron Walden
263,uk.org.publicwhip/person/10264,,Nick,Hawkins,,
264,uk.org.publicwhip/person/10265,,John,Hayes,Conservative,South Holland and The Deepings
265,uk.org.publicwhip/person/10266,,Sylvia,Heal,,
266,uk.org.publicwhip/person/10267,,Oliver,Heald,Conservative,North East Hertfordshire
267,uk.org.publicwhip/person/10268,,John,Healey,Labour,Wentworth and Dearne
268,uk.org.publicwhip/person/10269,,David,Heath,Liberal Democrat,Somerton and Frome
269,uk.org.publicwhip/person/10270,,Edward,Heath,,
270,uk.org.publicwhip/person/10271,,David,Heathcoat-Amory,,
271,uk.org.publicwhip/person/10272,,Doug,Henderson,,
272,uk.org.publicwhip/person/10273,,Ivan,Henderson,,
273,uk.org.publicwhip/person/10274,,Stephen,Hepburn,Labour,Jarrow
274,uk.org.publicwhip/person/10275,,John,Heppell,,
275,uk.org.publicwhip/person/10276,,Michael,Heseltine,,
276,uk.org.publicwhip/person/10277,,Stephen,Hesford,,
277,uk.org.publicwhip/person/10278,,Patricia,Hewitt,,
278,uk.org.publicwhip/person/10279,,Keith,Hill,,
279,uk.org.publicwhip/person/10280,,David,Hinchliffe,,
280,uk.org.publicwhip/person/10281,,Margaret,Hodge,Labour,Barking
281,uk.org.publicwhip/person/10282,,Kate,Hoey,Labour,Vauxhall
282,uk.org.publicwhip/person/10283,,Douglas Martin,Hogg,,
283,uk.org.publicwhip/person/10284,,John,Home Robertson,,
284,uk.org.publicwhip/person/10285,,Jimmy,Hood,Labour,Lanark and Hamilton East
285,uk.org.publicwhip/person/10286,,Geoff,Hoon,,
286,uk.org.publicwhip/person/10287,,Phil,Hope,,
287,uk.org.publicwhip/person/10288,,Kelvin,Hopkins,Labour,Luton North
288,uk.org.publicwhip/person/10289,,John,Horam,,
289,uk.org.publicwhip/person/10290,,Michael,Howard,,
290,uk.org.publicwhip/person/10291,,Alan,Howarth,,
291,uk.org.publicwhip/person/10292,,George,Howarth,Labour,Knowsley
292,uk.org.publicwhip/person/10293,,Gerald,Howarth,Conservative,Aldershot
293,uk.org.publicwhip/person/10294,,Kim,Howells,,
294,uk.org.publicwhip/person/10295,,Lindsay,Hoyle,Labour,Chorley
