,type,year,party,vague_score,decade,subj_score,emot_score
649,PMQs,1986-02-25,CON,0.17574691612403906,1980,0.08804754758967466,0.16561615489364
650,PMQs,1986-02-27,CON,0.17392485278431016,1980,0.09785730917795538,0.16220816728099793
651,PMQs,1986-03-04,CON,0.1752914039482141,1980,0.0945338583576354,0.16487884236595432
652,PMQs,1986-03-06,CON,0.1743149728389376,1980,0.09727286919084893,0.1628982524327494
653,PMQs,1986-03-11,CON,0.17440761248581366,1980,0.09675869786042557,0.16095145380977907
654,PMQs,1986-03-13,CON,0.1768573244553561,1980,0.09851269178419184,0.16506968399333152
655,PMQs,1986-04-08,CON,0.17692218146239078,1980,0.08657149586853254,0.16550982075904003
656,PMQs,1986-04-10,CON,0.1752745988548376,1980,0.0910297496467412,0.16408325487237693
657,PMQs,1986-04-15,CON,0.17488129734454524,1980,0.09281034616757686,0.16537139389922723
658,PMQs,1986-04-17,CON,0.17492881719780543,1980,0.09101176117476024,0.1663801961890949
659,PMQs,1986-04-22,CON,0.17570275524047596,1980,0.08617761311976042,0.16252870694117424
660,PMQs,1986-04-24,CON,0.17460143535647177,1980,0.1049016698542485,0.16543899760841024
661,PMQs,1986-04-29,CON,0.1760233583370175,1980,0.0949340430174525,0.16461686742267262
662,PMQs,1986-05-01,CON,0.1754763356409123,1980,0.10002469376561568,0.16596225034512516
663,PMQs,1986-05-08,CON,0.17595428799700205,1980,0.08677621479442417,0.16564781229033845
664,PMQs,1986-05-13,CON,0.17648676828674079,1980,0.07740511987509348,0.1651897878063043
665,PMQs,1986-05-15,CON,0.17717292929000578,1980,0.08499983570779449,0.1612359936431722
666,PMQs,1986-05-20,CON,0.17522112918625707,1980,0.09506352890271286,0.1646032744417397
667,PMQs,1986-05-22,CON,0.17375908302319076,1980,0.10565971567255113,0.16411786069731968
668,PMQs,1986-06-03,CON,0.17557875129921255,1980,0.09318816879347372,0.16257447597458777
669,PMQs,1986-06-05,CON,0.17657876186305868,1980,0.09809395646229188,0.1654074700203793
670,PMQs,1986-06-10,CON,0.1758798926335907,1980,0.09686223878484454,0.162945293476801
671,PMQs,1986-06-12,CON,0.17559663265435127,1980,0.08534059615614148,0.15954083952759857
672,PMQs,1986-06-17,CON,0.17552374313699773,1980,0.09450552020061247,0.16729121134743305
673,PMQs,1986-06-19,CON,0.1748160672931172,1980,0.10384688083652056,0.1620611040018309
674,PMQs,1986-06-24,CON,0.17660347830209835,1980,0.09713452881815783,0.16007290828498696
675,PMQs,1986-07-01,CON,0.17657307394391664,1980,0.09067369988986536,0.1672270799190429
676,PMQs,1986-07-03,CON,0.17460295318627023,1980,0.09063253419369925,0.16534399957011248
677,PMQs,1986-07-08,CON,0.1759939515756848,1980,0.09790485584818603,0.16412775725459358
678,PMQs,1986-07-10,CON,0.17514330718761614,1980,0.09191197672219543,0.1659426354326413
679,PMQs,1986-07-15,CON,0.17659020258196204,1980,0.09246373623744365,0.1673531244839637
680,PMQs,1986-07-17,CON,0.17485617893791539,1980,0.09159938786698836,0.16236608013801054
681,PMQs,1986-07-22,CON,0.17545212332415744,1980,0.09521062130847772,0.1643800942591969
682,PMQs,1986-07-24,CON,0.17525991419739734,1980,0.0910094019878321,0.16204800754298407
683,PMQs,1986-10-21,CON,0.17663928429241346,1980,0.09608882207539599,0.16202364295513422
684,PMQs,1986-10-23,CON,0.17653813861165574,1980,0.09512041278943247,0.16532352803997255
685,PMQs,1986-10-28,CON,0.17639129245210355,1980,0.08205790946287629,0.16205900344245744
686,PMQs,1986-10-30,CON,0.1757087735023353,1980,0.09775487813933928,0.16266448249963175
687,PMQs,1986-11-04,CON,0.17522948425583468,1980,0.09888853105818629,0.16762517468516647
688,PMQs,1986-11-06,CON,0.175317979298663,1980,0.08622964327363027,0.16816951288395912
689,PMQs,1986-11-18,CON,0.17482858081516023,1980,0.1010846942553261,0.16161024630980086
690,PMQs,1986-11-20,CON,0.17468318863430943,1980,0.09204573349499084,0.16234128349029706
691,PMQs,1986-11-25,CON,0.1745533857680186,1980,0.09734501641279901,0.16459119753395937
692,PMQs,1986-11-27,CON,0.17573035491059602,1980,0.10557541578781311,0.16073201362225656
693,PMQs,1986-12-02,CON,0.1758710504461927,1980,0.09128737465333475,0.1630901617931516
694,PMQs,1986-12-04,CON,0.17492083849078813,1980,0.08546638565538689,0.15923038466089234
695,PMQs,1986-12-18,CON,0.1765072522646345,1980,0.08854053893498201,0.1651618930431174
696,PMQs,1987-01-13,CON,0.1769302001058186,1980,0.08943982516761931,0.1647140955905525
697,PMQs,1987-01-15,CON,0.17428987189162953,1980,0.10811244260877095,0.1651684452767519
698,PMQs,1987-01-20,CON,0.17660138307700082,1980,0.09609298981566204,0.16385450919684771
699,PMQs,1987-01-22,CON,0.17594821492476992,1980,0.09846465545165684,0.16428839438531423
700,PMQs,1987-01-27,CON,0.17188075702525435,1980,0.0967631288318472,0.16886378049567474
701,PMQs,1987-01-29,CON,0.17578082714166532,1980,0.09737686413799568,0.16280865836342834
702,PMQs,1987-02-03,CON,0.1739334741342861,1980,0.10202655499794194,0.16733682702531674
703,PMQs,1987-02-10,CON,0.1755008554139158,1980,0.10660583215681929,0.16635342205195852
704,PMQs,1987-02-12,CON,0.17645564337727448,1980,0.08635625912827995,0.16219392590499204
705,PMQs,1987-02-17,CON,0.17515237844034942,1980,0.10217581815002412,0.1613266209958995
706,PMQs,1987-02-19,CON,0.1760027043863318,1980,0.09143264263240701,0.1642537818786106
707,PMQs,1987-02-24,CON,0.17680072708661745,1980,0.0883269372355113,0.16625911731306056
708,PMQs,1987-02-26,CON,0.17648853192404837,1980,0.08269664536994357,0.1648257560773223
709,PMQs,1987-03-03,CON,0.1747750920215554,1980,0.11035544951321928,0.16284287474660444
710,PMQs,1987-03-05,CON,0.17619317177222388,1980,0.08993767371380174,0.16251983070773915
711,PMQs,1987-03-10,CON,0.17696771366173744,1980,0.0963016486118882,0.16257587102295182
712,PMQs,1987-03-12,CON,0.17612122357602547,1980,0.09058815263163061,0.16307107204590818
713,PMQs,1987-03-17,CON,0.17484085722067888,1980,0.0928585379263312,0.16480772640237257
714,PMQs,1987-03-19,CON,0.17655947873793662,1980,0.10035937494028842,0.16349720058080727
715,PMQs,1987-03-24,CON,0.17638738010706478,1980,0.08908559042771795,0.16626882364437795
716,PMQs,1987-04-02,CON,0.17861509803033274,1980,0.09362764515766274,0.16234898853425048
717,PMQs,1987-04-07,CON,0.17705708068169296,1980,0.09470564700538155,0.16454399260013888
718,PMQs,1987-04-09,CON,0.17458987846426852,1980,0.10508942997161698,0.1634928849808998
719,PMQs,1987-04-23,CON,0.1758054563616786,1980,0.09621231880378585,0.16514532518647873
720,PMQs,1987-04-28,CON,0.17487882558072357,1980,0.08928579820246815,0.16191778195212234
721,PMQs,1987-04-30,CON,0.17641612499930737,1980,0.09154919979242114,0.16123018704741066
722,PMQs,1987-05-05,CON,0.17601217180776665,1980,0.08803093665175592,0.16401870819875197
723,PMQs,1987-05-07,CON,0.1761991512447211,1980,0.0994753082752858,0.1643887762268975
724,PMQs,1987-05-12,CON,0.1757867310464909,1980,0.09064258445756375,0.16666487777718456
725,PMQs,1987-05-14,CON,0.1767435091128118,1980,0.08191957200656624,0.16563030676998483
726,PMQs,1987-07-02,CON,0.1756806800871364,1980,0.10281433436118509,0.16603099296629162
727,PMQs,1987-07-07,CON,0.1757280406648958,1980,0.09281823043342108,0.16700699563398527
728,PMQs,1987-07-09,CON,0.17564134597553305,1980,0.08414075494750886,0.16654472111275462
729,PMQs,1987-07-14,CON,0.17444007168638712,1980,0.09854973976842069,0.1627533241639036
730,PMQs,1987-07-16,CON,0.17599952916323203,1980,0.0940163760071651,0.16389561904365038
